company_name,guinumber,tel,companyaddress,responsibleperson,registerstyle,permitstatus,rreplan,permitnumber,permitdate
鴻德生命事業股份有限公司,29004758,07-3700407,新北市板橋區長江路1段53號,陳岷營,跨區有營業據點,營運中,否,北府民生字第0970888460號,97年12月04日
禮御生命美學股份有限公司,24460904,02-22581666,新北市板橋區新海路431巷9號,梁信和,跨區有營業據點,營運中,否,北府民生字第1000209181號,100年03月09日
慶云禮儀有限公司,53964881,03-7271020,新北市板橋區龍泉街90巷14號1樓,鄒淑芬,跨區有營業據點,營運中,否,北府民生字第1012698328號,101年10月23日
龍巖股份有限公司,22415496,02-66159999,新北市板橋區長江路1段40號,"LEE  KELLY",跨區有營業據點,營運中,否,新北府民殯字第1063689801號,107年01月17日
國寶服務股份有限公司,84711031,02-22570460,新北市板橋區新海路429號1樓,湯順甄,跨區有營業據點,營運中,否,新北府民殯字第1095115236號,109年06月12日
安心殯儀顧問管理有限公司,80090019,02-23777959,新北市新店區中正路149巷4號4樓,呂弘銘,本市,營運中,否,北府民殯字第0920698495號,93年01月16日
三芝毅達葬儀社,37513262,02-26234819,新北市三芝區中興街2段252號1樓,江金得,本市,營運中,否,北府民殯字第0920750165號,93年03月08日
"新馨生命規劃事業有限公司 ",27270110,02-29631858,新北市板橋區中山路2段407之5號4樓,部政翰,本市,營運中,否,北府民殯字第0930153564號,93年03月29日
"三重葬儀社 ",99479428,02-29860843,"新北市三重區忠孝路2段55號1樓  ",汪子裕,本市,營運中,否,北府民殯字第0930140248號,93年04月08日
永望生命事業有限公司,27282066,02-89526230,新北市板橋區三民路2段正隆巷50之1號,李玉枝,本市,營運中,否,北府民殯字第0930180894號,93年04月28日
立嚴生命事業有限公司,27416488,02-82585731,"新北市板橋區新海路432號1樓  ",黃春夏,本市,營運中,否,北府民殯字第0930198354號,93年04月29日
大願生命禮儀有限公司,27298898,02-89146833,"新北市新店區中興路1段270巷1號1樓  ",陸春長,本市,營運中,否,北府民殯字第0930337142號,93年05月20日
