year,age,item,total,"men person","female person"
105,總計,總計,32482,27259,5223
105,總計,竊盜總計,3748,2951,797
105,總計,重大竊盜,8,6,2
105,總計,普通竊盜,3189,2434,755
105,總計,汽車竊盜,143,132,11
105,總計,機車竊盜,408,379,29
105,總計,贓物,18,15,3
105,總計,賭博,1882,1440,442
105,總計,傷害總計,1466,1249,217
105,總計,重傷害,3,3,0
105,總計,一般傷害,1463,1246,217
105,總計,詐欺背信總計,1986,1450,536
105,總計,詐欺,1900,1387,513
105,總計,背信,86,63,23
105,總計,妨害自由,862,719,143
105,總計,殺人總計,98,85,13
105,總計,故意殺人,86,79,7
105,總計,過失致死,12,6,6
105,總計,駕駛過失,1070,857,213
105,總計,妨害婚姻及家庭,88,48,40
105,總計,妨害風化,182,128,54
105,總計,妨害性自主罪總計,437,429,8
105,總計,強制性交,50,50,0
105,總計,共同強制性交,6,6,0
105,總計,對幼性交,9,9,0
105,總計,性交猥褻,372,364,8
105,總計,內亂,0,0,0
105,總計,恐嚇取財總計,79,73,6
105,總計,重大恐嚇取財,0,0,0
105,總計,一般恐嚇取財,79,73,6
105,總計,擄人勒贖,2,2,0
105,總計,侵占,361,273,88
105,總計,偽造文書印文,243,185,58
105,總計,違反毒品危害防制條例總計,11509,9897,1612
105,總計,第一級毒品,2181,1815,366
105,總計,第二級毒品,8864,7660,1204
105,總計,第三級毒品,453,412,41
105,總計,第四級毒品,4,3,1
105,總計,其他,7,7,0
105,總計,毀棄損壞,284,242,42
105,總計,妨害公務,289,263,26
105,總計,違反著作權法,147,126,21
105,總計,違反商標法,91,34,57
105,總計,妨害電腦使用,59,41,18
105,總計,強盜搶奪總計,114,107,7
105,總計,強盜,71,66,5
105,總計,搶奪,43,41,2
105,總計,竊佔,60,41,19
105,總計,偽造有價證券,26,21,5
105,總計,妨害秩序,78,68,10
105,總計,違反藥事法,15,11,4
105,總計,違反國家總動員法,0,0,0
105,總計,違反森林法,8,7,1
105,總計,公共危險,5497,5035,462
105,總計,侵害墳墓屍體,1,1,0
105,總計,重利,135,117,18
105,總計,妨害名譽,444,313,131
105,總計,違反選罷法,23,15,8
105,總計,妨害祕密,44,36,8
105,總計,遺棄,24,13,11
105,總計,違反貪污治罪條例,0,0,0
105,總計,懲治走私條例,0,0,0
105,總計,妨害兵役,0,0,0
105,總計,偽造貨幣,4,3,1
105,總計,偽造度量衡,0,0,0
105,總計,偽證,1,1,0
105,總計,誣告,49,29,20
105,總計,湮滅證據,0,0,0
105,總計,瀆職,3,2,1
105,總計,脫逃,2,2,0
105,總計,藏匿頂替,4,1,3
105,總計,違反槍砲彈藥刀械管制條例,211,201,10
105,總計,違反就業服務法,0,0,0
105,總計,其他,838,728,110
105,00-05歲嫌犯數,總計,0,0,0
105,00-05歲嫌犯數,竊盜總計,0,0,0
105,00-05歲嫌犯數,重大竊盜,0,0,0
105,00-05歲嫌犯數,普通竊盜,0,0,0
105,00-05歲嫌犯數,汽車竊盜,0,0,0
105,00-05歲嫌犯數,機車竊盜,0,0,0
105,00-05歲嫌犯數,贓物,0,0,0
105,00-05歲嫌犯數,賭博,0,0,0
105,00-05歲嫌犯數,傷害總計,0,0,0
105,00-05歲嫌犯數,重傷害,0,0,0
105,00-05歲嫌犯數,一般傷害,0,0,0
105,00-05歲嫌犯數,詐欺背信總計,0,0,0
105,00-05歲嫌犯數,詐欺,0,0,0
105,00-05歲嫌犯數,背信,0,0,0
105,00-05歲嫌犯數,妨害自由,0,0,0
105,00-05歲嫌犯數,殺人總計,0,0,0
105,00-05歲嫌犯數,故意殺人,0,0,0
105,00-05歲嫌犯數,過失致死,0,0,0
105,00-05歲嫌犯數,駕駛過失,0,0,0
105,00-05歲嫌犯數,妨害婚姻及家庭,0,0,0
105,00-05歲嫌犯數,妨害風化,0,0,0
105,00-05歲嫌犯數,妨害性自主罪總計,0,0,0
105,00-05歲嫌犯數,強制性交,0,0,0
105,00-05歲嫌犯數,共同強制性交,0,0,0
105,00-05歲嫌犯數,對幼性交,0,0,0
105,00-05歲嫌犯數,性交猥褻,0,0,0
105,00-05歲嫌犯數,內亂,0,0,0
105,00-05歲嫌犯數,恐嚇取財總計,0,0,0
105,00-05歲嫌犯數,重大恐嚇取財,0,0,0
105,00-05歲嫌犯數,一般恐嚇取財,0,0,0
105,00-05歲嫌犯數,擄人勒贖,0,0,0
105,00-05歲嫌犯數,侵占,0,0,0
105,00-05歲嫌犯數,偽造文書印文,0,0,0
105,00-05歲嫌犯數,違反毒品危害防制條例總計,0,0,0
105,00-05歲嫌犯數,第一級毒品,0,0,0
105,00-05歲嫌犯數,第二級毒品,0,0,0
105,00-05歲嫌犯數,第三級毒品,0,0,0
105,00-05歲嫌犯數,第四級毒品,0,0,0
105,00-05歲嫌犯數,其他,0,0,0
105,00-05歲嫌犯數,毀棄損壞,0,0,0
105,00-05歲嫌犯數,妨害公務,0,0,0
105,00-05歲嫌犯數,違反著作權法,0,0,0
105,00-05歲嫌犯數,違反商標法,0,0,0
105,00-05歲嫌犯數,妨害電腦使用,0,0,0
105,00-05歲嫌犯數,強盜搶奪總計,0,0,0
105,00-05歲嫌犯數,強盜,0,0,0
105,00-05歲嫌犯數,搶奪,0,0,0
105,00-05歲嫌犯數,竊佔,0,0,0
105,00-05歲嫌犯數,偽造有價證券,0,0,0
105,00-05歲嫌犯數,妨害秩序,0,0,0
105,00-05歲嫌犯數,違反藥事法,0,0,0
105,00-05歲嫌犯數,違反國家總動員法,0,0,0
105,00-05歲嫌犯數,違反森林法,0,0,0
